원천도형ID,읍면동코드,읍면동명,데이터기준일자,제공기관코드,제공기관명
184,47111101,상도동,2018-01-11,AAAAAAA,공공데이터활용지원센터
186,47113115,학잠동,2018-01-11,AAAAAAA,공공데이터활용지원센터
188,47113107,덕산동,2018-01-11,AAAAAAA,공공데이터활용지원센터
189,47113102,신흥동,2018-01-11,AAAAAAA,공공데이터활용지원센터
527,47130128,조양동,2018-01-11,AAAAAAA,공공데이터활용지원센터
528,47130129,시동,2018-01-11,AAAAAAA,공공데이터활용지원센터
158,47150111,문당동,2018-01-11,AAAAAAA,공공데이터활용지원센터
159,47150109,교동,2018-01-11,AAAAAAA,공공데이터활용지원센터
85,46170108,경현동,2018-01-11,AAAAAAA,공공데이터활용지원센터
89,46170117,송촌동,2018-01-11,AAAAAAA,공공데이터활용지원센터
193,47113104,상원동,2018-01-11,AAAAAAA,공공데이터활용지원센터
194,47113103,남빈동,2018-01-11,AAAAAAA,공공데이터활용지원센터
45,46820360,북일면,2018-01-11,AAAAAAA,공공데이터활용지원센터
34,46830330,신북면,2018-01-11,AAAAAAA,공공데이터활용지원센터
35,46830390,미암면,2018-01-11,AAAAAAA,공공데이터활용지원센터
